"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(distance to sea, by=pass)",75,"159.61"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(gradient, by=pass)",75,"159.70"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(marsh, by=pass)",75,"160.00"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(width, by=pass)",75,"160.10"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban)",53,"166.30"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",46,"167.35"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other)",55,"175.31"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other)",56,"181.36"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other)",58,"194.33"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other)",60,"207.41"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",57,"208.42"
"life-stage + pass + life-stage:pass + organisation + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",57,"208.42"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other)",71,"261.51"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other)",71,"261.51"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",85,"275.28"
"life-stage + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",50,"278.00"
"life-stage + pass + life-stage:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",50,"278.00"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",94,"300.24"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",94,"305.64"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",94,"310.40"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(other) + s(day of year)",95,"312.26"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(marsh) + s(other) + s(day of year)",95,"313.07"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(day of year)",95,"313.99"
"life-stage + pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",95,"313.99"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(woodland) + s(marsh) + s(other) + s(day of year)",95,"317.07"
"life-stage + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",96,"318.32"
"pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",96,"318.34"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",96,"318.36"
"life-stage + pass + life-stage:pass + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",96,"318.39"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",94,"318.96"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",94,"324.59"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",80,"371.28"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other)",94,"437.26"
"life-stage + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year)",28,"513.85"
"life-stage + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",30,"516.82"
"life-stage + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",26,"522.86"
"life-stage + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year)",25,"523.88"
"life-stage + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",32,"524.53"
"life-stage + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",37,"525.28"
"life-stage + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",35,"527.65"
"life-stage + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",27,"528.09"
"life-stage + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",28,"529.75"
"life-stage + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",34,"530.12"
"life-stage + year + pass + life-stage:pass + s(distance to sea) + s(day of year)",26,"530.14"
"life-stage + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",26,"533.21"
"life-stage + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",39,"542.82"
"life-stage + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year)",24,"558.98"
"life-stage + pass + life-stage:pass + organisation + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",233,"1149.19"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",245,"1265.79"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",254,"1299.33"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",254,"1305.03"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",254,"1306.37"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",254,"1307.59"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(marsh) + s(other) + s(day of year)",255,"1311.88"
"life-stage + pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",255,"1312.51"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(day of year)",255,"1312.54"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(other) + s(day of year)",255,"1313.04"
"life-stage + pass + life-stage:pass + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",256,"1316.17"
"pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",256,"1316.43"
"life-stage + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",256,"1316.44"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",256,"1316.74"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(woodland) + s(marsh) + s(other) + s(day of year)",255,"1319.25"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",254,"1325.87"
"life-stage + pass + life-stage:pass + organisation + organisation:pass + year + organisation:year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other)",254,"1358.99"
